ID,Hall,Room,Type,Sqft,College,Region,Elevator,Bathroom,AC,Floor,FilePath,Wawa,UStore,Nassau Street,Jadwin Gym,Frist,Street,EQuad,Dillon,RoomID
50,Bloomberg,124,SINGLE,170,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg124
51,Bloomberg,131,DOUBLE,392,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg131
52,Bloomberg,132,QUAD,632,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg132
53,Bloomberg,140,QUAD,680,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg140
54,Bloomberg,175,DOUBLE,244,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg175
55,Bloomberg,177,QUAD,708,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg177
56,Bloomberg,181,QUAD,702,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg181
57,Bloomberg,182,QUAD,585,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg182
58,Bloomberg,191,QUAD,669,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg191
59,Bloomberg,192,SINGLE,165,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg192
60,Bloomberg,193,QUAD,710,Butler College,BUTLER,YES,NONE,YES,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_01.png,8,8,9,12,5,9,13,7,Bloomberg193
61,Bloomberg,201,SINGLE,146,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg201
62,Bloomberg,202,SINGLE,145,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg202
63,Bloomberg,203,SINGLE,133,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg203
64,Bloomberg,204,SINGLE,140,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg204
65,Bloomberg,205,SINGLE,144,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg205
66,Bloomberg,206,SINGLE,140,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg206
67,Bloomberg,207,SINGLE,143,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg207
68,Bloomberg,208,SINGLE,140,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg208
69,Bloomberg,210,SINGLE,153,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg210
70,Bloomberg,213,SINGLE,163,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg213
71,Bloomberg,214,SINGLE,155,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg214
72,Bloomberg,216,SINGLE,140,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg216
73,Bloomberg,218,SINGLE,135,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg218
74,Bloomberg,220,SINGLE,131,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg220
75,Bloomberg,222,SINGLE,131,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg222
76,Bloomberg,223,SINGLE,131,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg223
